"","Protein","F_value","p_value","p_adj"
"1","A0A060HE65","13.5170973067966",1.75988063642802e-07,0.000210833700244077
"2","A0A060HF26","8.13089020539815",3.32300476441405e-05,0.00749473450439978
"3","A0A060HGP9","10.7918013173404",6.21066429373664e-06,0.00210656785477538
"4","A0A060HGZ6","5.42044772100693",0.000871648055198661,0.0401316867599325
"5","A0A060HHA4","6.72891772274366",0.000123356109532499,0.0130985375642275
"6","A0A060HHE0","6.41529221118147",0.000179774256647053,0.0140034501699291
"7","A0A060HHF1","5.86876770010424",0.000463189790764146,0.0252227895152476
"8","A0A060HI75","10.3454869861623",3.92245864591023e-06,0.00210656785477538
"9","A0A060HID7","5.10400465362533",0.00118837557042303,0.047455797778893
"10","A0A060HIR4","6.88715492636435",0.000143493002914079,0.0130985375642275
"11","A0A060HIZ0","6.50111150279717",0.000198713399740229,0.0140034501699291
"12","A0A060HJG5","6.70967895000543",0.000126208997400779,0.0130985375642275
"13","A0A060HJL6","6.60280763479376",0.000197258152259194,0.0140034501699291
"14","A0A060HJU2","6.83366219489186",0.000152268075227356,0.0130985375642275
"15","A0A060HLH6","8.29683561988118",5.26357876906522e-05,0.00749473450439978
"16","A0A060HNL5","7.88724084049649",4.28630866793361e-05,0.00749473450439978
"17","A0A060HNZ6","7.77231949090687",4.8402887485467e-05,0.00749473450439978
"18","A0A060HP02","6.06126153064599",0.000254673412621931,0.0169499304622819
"19","A0A060HPG1","9.20904494019997",7.03361554182096e-06,0.00210656785477538
"20","A0A060HPG3","5.2682866475891",0.00104973073806441,0.0449134794357558
"21","A0A060HQ32","5.49652155470085",0.000616070871317148,0.030752204326581
"22","A0A060HQF6","6.22845451660052",0.000273719249612348,0.0172587190018733
"23","A0A060HRD0","6.28250339243196",0.000449763871532005,0.0252227895152476
"24","A0A060HS25","6.54834052775149",0.000153071390566932,0.0130985375642275
"25","A0A060HS52","7.51307788151069",5.63043493652738e-05,0.00749473450439978
"26","A0A060HSA2","5.85214517276443",0.000430486968961295,0.0252227895152476
"27","A0A060HSC1","4.93569157506258",0.00127966748093906,0.0494529561988708
"28","A0A060HSU5","5.74437636916005",0.000652382366535418,0.0312621630043772
"29","A0A060HTE5","5.71656797624947",0.000508379975397274,0.0264799656750406
"30","A0A060HUM7","5.25745215427177",0.000904470402769763,0.0401316867599325
"31","A0A060HVT4","5.16111661010384",0.00110545714235994,0.0456668157430072
