""	"Protein.Code"	"A"	"D"	"G"	"C"	"F"	"B"	"E"	"p_adj"	"Method"	"Locus_Tag"	"sig_check"	"Cluster"	"Max"	"Min"	"Gene_Name"	"Protein_Product"
"A0A060HBU1"	"A0A060HBU1"	0.473912262984444	0.335247232121399	0.735058837136902	0.270056965696934	0.0563102891436122	-2.21924336377558	0.348657776692293	2.04453345641728e-15	"ANOVA"	"NVIE_000610"	"yes"	4	"G"	"B"	"NVIE_000610"	"putative protein of unknown function DUF309"
"A0A060HPW2"	"A0A060HPW2"	0.11876667288321	-0.0987225714170842	0.179574276259009	0.41039392237356	0.978538913688584	-2.12772833460366	0.539177120816382	0.0122701970814267	"ANOVA"	"NVIE_010110"	"yes"	4	"F"	"B"	"NVIE_010110"	"putative FMN-binding pyridoxamine 5'-phosphate oxidase"
"A0A060HQZ5"	"A0A060HQZ5"	0.345429550281694	-0.261987846928863	-0.300493711163504	0.235864392485659	1.20578843854416	-1.92804411102847	0.70344328780933	0.159417181782483	"ANOVA"	"NVIE_1383"	"no"	4	"F"	"B"	"NVIE_1383"	"GRAM domain-containing protein"
"A0A060HKA6"	"A0A060HKA6"	0.373353285240725	0.309330310107737	0.296023482065067	0.354795305920195	0.822889384757725	-2.20718941908444	0.0507976509929947	0.000123626861043601	"ANOVA"	"NVIE_014840"	"yes"	4	"F"	"B"	"NVIE_014840"	"putative universal stress family protein"
"A0A060HHK2"	"A0A060HHK2"	0.0464414849809185	0.146719136994555	0.432950062182504	0.596010037337034	0.891327172265361	-2.15350282945483	0.0400549356944581	0.000175617011798032	"ANOVA"	"NVIE_018290"	"yes"	4	"F"	"B"	"NVIE_018290"	"putative PUA domain protein"
"A0A060HMJ8"	"A0A060HMJ8"	-0.0315310623267204	0.465782215918269	0.113309028374979	-0.00240165752966618	1.0612132610063	-2.09794827897303	0.491576493529864	1.04594785042098e-05	"ANOVA"	"NVIE_024490"	"yes"	4	"F"	"B"	"NVIE_024490"	"DNA alkylation repair enzyme"
"A0A060HIA6"	"A0A060HIA6"	0.595978351253636	-0.582868951618436	1.14432494286902	-0.408441979378871	1.30814849708	-1.05687603828587	-1.00026482191948	0.08327581425533	"ANOVA"	"NVIE_020500"	"no"	4	"F"	"B"	"cdc6-3"	"cell division control protein 6"
"A0A060HM34"	"A0A060HM34"	1.04401361035673	-0.552385429026416	1.05713164808964	-0.346755799883229	0.900241716877849	-1.46764734732471	-0.634598399089862	0.042245184205455	"ANOVA"	"NVIE_022660"	"yes"	4	"G"	"B"	"NVIE_022660"	"protein of unknown function"
"A0A060HK55"	"A0A060HK55"	0.880527651061321	-0.383863361616366	1.39744428573498	-0.727411679534101	0.776040001407036	-0.741161712417458	-1.20157518463541	0.00154382319906823	"ANOVA"	"NVIE_014390"	"yes"	4	"G"	"E"	"rps10p"	"30S ribosomal protein S10p"
"A0A060HIN5"	"A0A060HIN5"	1.42306734481283	-0.0209506789017147	0.670827841025984	-0.552933603955068	0.728962142037435	-1.40588406635716	-0.843088978662307	0.0390191579802115	"ANOVA"	"NVIE_021420"	"yes"	4	"A"	"B"	"NVIE_021420"	"protein of unknown function"
