""	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"B1"	"B10"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"C1"	"C2"	"C3"	"C4"	"C5"	"D1"	"D2"	"D3"	"D4"	"D5"	"E1"	"E2"	"E3"	"E4"	"E5"	"F1"	"F2"	"F3"	"F4"	"F5"	"G1"	"G2"	"G3"	"G4"	"G5"
"A0A060HH33"	150550000	169600000	119720000	117730000	119040000	147140000	137150000	148040000	153680000	126540000	156600000	155130000	169820000	107320000	2.1e+08	154730000	166540000	124090000	173560000	185960000	164710000	162540000	135650000	177260000	140050000	180270000	135120000	132770000	146880000	126310000	152570000	154930000	157400000	167250000	163220000	167480000	132350000	193590000	163850000	179650000	189010000	173160000	173020000	176190000
"A0A060HH37"	227140000	220290000	263900000	218930000	220320000	196400000	237160000	273820000	216090000	172440000	254640000	221470000	137180000	126790000	152240000	209270000	194680000	2.23e+08	239410000	222430000	210080000	185780000	211610000	213260000	261610000	193400000	230620000	229160000	226110000	165030000	117420000	86255000	141640000	176840000	196230000	174220000	214340000	192440000	195760000	258400000	181480000	199520000	194070000	225840000
"A0A060HH42"	72992000	60864000	99261000	78162000	74333000	65228000	65610000	77450000	62819000	83254000	60606000	120670000	76071000	80144000	57760000	67501000	62886000	57386000	68388000	67734000	73283000	48108000	62939000	70064000	98009000	67454000	57300000	48792000	66310000	47793000	60011000	48875000	75477000	49323000	52143000	58986000	60513000	75449000	77977000	70942000	49079000	63605000	57375000	60106000
"A0A060HH43"	988410000	755810000	837150000	891970000	862260000	850040000	923050000	973560000	995750000	1205700000	1743800000	1232400000	1310500000	1302800000	1559700000	1669300000	1650100000	1534400000	1645100000	1063800000	1009500000	1156500000	1072600000	995510000	898090000	1072600000	960160000	986410000	991590000	1052500000	955130000	876730000	865390000	885650000	1823500000	1788700000	1792500000	1.673e+09	1994300000	1015600000	962230000	841970000	1040500000	926030000
"A0A060HH45"	1.11e+08	93059000	84475000	105910000	93025000	88249000	88132000	97262000	105710000	102260000	178540000	166520000	118150000	107130000	146530000	138530000	236280000	122580000	130010000	137750000	115590000	110900000	108720000	114950000	88322000	107760000	104160000	85358000	87129000	166110000	137130000	113050000	130090000	142670000	165730000	180190000	1.47e+08	195570000	227690000	125580000	94407000	117770000	88338000	93197000
"A0A060HH52"	9249300	5665800	0	0	0	0	0	8305900	9015000	0	0	0	0	0	0	0	0	8041700	0	0	0	0	8554400	9183700	8373500	0	0	9946200	9820500	7858400	6614200	0	7068000	0	10715000	10610000	9725700	8758200	8218000	9147800	7936200	8493500	11153000	11907000
"A0A060HH54"	21012000	12377000	11519000	18566000	15392000	18308000	16495000	11313000	16786000	21466000	22668000	24787000	23204000	15376000	31407000	16506000	25125000	22323000	25142000	19018000	21107000	17998000	16803000	16092000	14961000	16253000	18703000	16153000	19125000	22777000	16853000	15875000	17603000	21392000	16873000	16517000	20804000	17687000	0	16602000	13515000	13373000	16347000	14294000
"A0A060HH56"	0	0	0	5050000	0	0	0	5114600	0	0	0	0	0	0	0	0	11657000	0	0	9331000	0	9698300	6577800	8244800	7701900	6197900	0	5988800	0	0	11241000	0	11510000	10430000	0	0	0	6703600	6456900	0	7271900	0	0	0
"A0A060HH57"	111450000	100730000	100830000	88138000	103920000	100490000	84327000	100150000	81014000	85113000	83886000	132310000	92251000	88332000	76037000	73926000	62229000	78609000	74936000	79160000	82744000	89394000	72235000	101180000	103380000	83089000	78928000	72477000	92323000	75450000	70530000	67723000	70133000	72816000	83386000	88749000	78269000	80371000	80915000	90106000	64591000	65040000	70341000	108230000
"A0A060HH59"	455480000	431620000	487130000	428650000	416470000	394290000	464900000	485370000	408850000	777990000	416610000	725260000	634330000	712230000	605800000	486830000	420860000	461830000	470580000	394970000	453300000	339810000	358420000	407310000	528720000	413670000	488800000	383360000	389540000	332650000	376590000	3.91e+08	357510000	284580000	311950000	278700000	318790000	300690000	384720000	455380000	342290000	386210000	346090000	406390000
"A0A060HH61"	50770000	62450000	29541000	58249000	56794000	47118000	62742000	71778000	62965000	0	65943000	23027000	32311000	0	41273000	38380000	49899000	49220000	49222000	39933000	41742000	79196000	65678000	68178000	45873000	63512000	64126000	68273000	69112000	67420000	54830000	40932000	26829000	37053000	78902000	46918000	65892000	47226000	38453000	58732000	44459000	57222000	66959000	59576000
"A0A060HH64"	474740000	423290000	209650000	457840000	530160000	401670000	435410000	452550000	470900000	197330000	426380000	179520000	316320000	217860000	331340000	313970000	342100000	346450000	371920000	441120000	355930000	586670000	453060000	453670000	413140000	428600000	494390000	619390000	629810000	400350000	352100000	307470000	367590000	397360000	508160000	449360000	479880000	354860000	218960000	396990000	445540000	452480000	541800000	425310000
"A0A060HH67"	886230000	960850000	1605200000	1061700000	1039300000	1093100000	1152400000	1069700000	1090200000	318390000	782070000	729770000	418050000	364200000	566170000	842900000	714100000	799800000	756640000	870330000	1235100000	812920000	947960000	743830000	929800000	975750000	1164300000	868080000	892970000	678500000	557010000	547850000	663750000	729840000	784090000	1.024e+09	921690000	1049200000	1094200000	846720000	869200000	1000900000	1041400000	952630000
"A0A060HH68"	108830000	100460000	150650000	96528000	123960000	83395000	100150000	209490000	95161000	140790000	63576000	436720000	106300000	136790000	52124000	84470000	77251000	133920000	79660000	65157000	125010000	50771000	108260000	103870000	214580000	88961000	83390000	49578000	86968000	46973000	53778000	70962000	152070000	43805000	71230000	78549000	111270000	136630000	237620000	143330000	74278000	155790000	81222000	184760000
"A0A060HH70"	11433000	12505000	13797000	11796000	12091000	9853300	12259000	11906000	9775200	0	0	0	0	0	0	0	10496000	9466900	10042000	10322000	12640000	9122300	10759000	10078000	10819000	10802000	9749000	12157000	12745000	8270700	9323700	10391000	12115000	11892000	10253000	10214000	9839400	13555000	13550000	12656000	11809000	14150000	10649000	11691000
"A0A060HH72"	128160000	114110000	122100000	140780000	158170000	122130000	123600000	137840000	128200000	48388000	143380000	129580000	73944000	52933000	91955000	121380000	152790000	118540000	125520000	136930000	111890000	119700000	130010000	146250000	138330000	140880000	136040000	173920000	144970000	168010000	137240000	124880000	159370000	163710000	141240000	155980000	185100000	122680000	113890000	156230000	112640000	151210000	159790000	1.59e+08
"A0A060HH76"	27222000	29774000	37735000	27309000	25813000	26252000	24996000	24543000	29502000	18562000	37583000	35795000	24903000	23573000	37538000	38446000	38184000	30509000	31769000	30051000	30764000	31626000	28507000	31566000	21719000	29139000	28721000	33237000	24269000	37312000	39894000	37857000	38371000	36448000	34196000	24125000	35404000	28688000	25078000	27718000	32497000	34343000	25799000	23235000
"A0A060HH77"	865440000	803850000	1327200000	946130000	846460000	928540000	1060500000	948700000	1.044e+09	371320000	705460000	661170000	378590000	449550000	501250000	652740000	749830000	713730000	619800000	831090000	855710000	883240000	897570000	837130000	911010000	974680000	950600000	1.055e+09	794900000	579740000	514310000	520080000	512180000	576530000	738660000	760710000	949360000	853820000	1.023e+09	828970000	895060000	921460000	940930000	900960000
"A0A060HH82"	697930000	761710000	804270000	497210000	616870000	687840000	687040000	739850000	692560000	920030000	631030000	788010000	885020000	921420000	894610000	702360000	663510000	556430000	730900000	632050000	697730000	637600000	557070000	682960000	677790000	753140000	557370000	618190000	593500000	550260000	710970000	680960000	576630000	590390000	605780000	635410000	558510000	651860000	677420000	792140000	778370000	695240000	704050000	746270000
"A0A060HH86"	25256000	24118000	33309000	22740000	27438000	29816000	25514000	20281000	21948000	0	30083000	36961000	6018200	0	18880000	21239000	36268000	29262000	28691000	30629000	23332000	23252000	22519000	25490000	24078000	26398000	21472000	25230000	19809000	28369000	30582000	24841000	26611000	28605000	23576000	19563000	28305000	25311000	26293000	22496000	24792000	23031000	21779000	20706000
"A0A060HH87"	0	0	0	0	0	0	0	0	1543000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1963600	0	0	2577800	0	3238400	0	2778500	0
"A0A060HH91"	8744800	0	0	0	6263800	6311700	6106300	0	4183000	0	0	0	0	0	0	6908700	6343000	0	0	10636000	0	0	4891200	5447200	0	4881700	4567500	4695000	0	0	4654500	7066700	0	0	0	0	4645700	0	4264400	0	0	5104200	0	6731300
"A0A060HH95"	6123500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5697400	7148300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5864100	0	0
"A0A060HHA2"	80575000	111950000	112980000	83810000	90350000	81071000	74586000	57162000	74429000	21523000	43114000	45398000	22820000	0	32402000	65581000	40693000	50129000	54660000	81595000	92337000	77081000	78086000	75820000	64483000	64761000	72955000	77568000	72077000	26213000	24056000	36858000	27907000	26572000	26579000	23805000	27166000	30566000	23497000	49057000	61833000	52688000	45204000	47816000
"A0A060HHA4"	4753800	3564100	6186600	0	0	0	4843300	0	2564600	12089000	0	0	4457000	4625100	0	0	0	0	0	3869000	4596800	2353800	0	0	4459700	0	0	0	0	0	0	0	0	0	0	3372000	3141900	0	0	0	0	0	0	0
"A0A060HHA7"	16573000	21696000	28483000	17396000	27571000	31582000	24942000	26836000	23409000	0	20872000	0	0	4988300	11186000	18965000	20761000	19410000	17189000	19722000	17785000	15613000	17856000	18524000	21833000	19479000	22858000	19442000	21004000	21379000	18448000	21907000	27626000	28270000	17157000	17814000	18952000	22116000	16856000	24461000	30208000	30893000	26043000	25461000
"A0A060HHA9"	35233000	32597000	53465000	45197000	41211000	32659000	39316000	41106000	36969000	31597000	32794000	53160000	32166000	38413000	31113000	36768000	36178000	35632000	29021000	38643000	38114000	34354000	30476000	35383000	43852000	38032000	37399000	36249000	32316000	29766000	32579000	28871000	32475000	27721000	33041000	31065000	38576000	31557000	32359000	32485000	30945000	27059000	32142000	30494000
"A0A060HHB2"	12528000	11784000	13896000	12132000	12502000	11052000	12935000	13397000	12354000	0	0	15872000	15214000	13271000	13009000	12501000	12853000	13685000	14346000	11182000	10754000	9161900	10677000	10503000	11823000	13892000	9514000	8107300	11500000	13109000	13984000	14474000	13134000	10039000	11596000	13377000	11065000	13948000	13172000	0	10224000	10896000	10615000	11087000
"A0A060HHB4"	731420000	1064300000	701510000	1012600000	926580000	564220000	733100000	701330000	858910000	1134800000	811390000	1523800000	1212700000	1232400000	867500000	1181800000	746390000	1218100000	744790000	721250000	702820000	559530000	1191800000	793630000	899140000	592210000	1223300000	742530000	817710000	2562900000	3.268e+09	2682700000	3036900000	1450800000	1720400000	1123400000	851310000	1317100000	849840000	1098300000	808610000	1.146e+09	929040000	1024100000
"A0A060HHB6"	33148000	2.3e+07	36947000	32132000	23962000	20516000	26747000	27823000	23546000	84885000	29460000	47963000	41716000	62364000	36061000	25406000	27760000	32857000	24974000	30043000	33555000	21828000	29017000	25751000	29539000	28522000	22331000	20924000	24664000	24194000	21444000	22322000	23210000	22937000	28044000	26362000	29612000	28147000	32358000	22426000	14409000	22611000	23416000	19759000
"A0A060HHC2"	31189000	26630000	21342000	23075000	25711000	21786000	22783000	28933000	26194000	19464000	21392000	25849000	0	0	15492000	0	0	0	0	0	29772000	0	23889000	24211000	22554000	13662000	15272000	15131000	19156000	0	0	14830000	0	0	27119000	21864000	0	21823000	0	26829000	22252000	25275000	18001000	20432000
"A0A060HHC5"	15506000	15331000	0	11464000	14464000	16901000	13525000	0	0	22973000	26130000	24968000	0	25649000	27670000	0	26501000	17887000	22590000	15583000	15337000	14547000	15992000	16112000	0	16173000	17520000	24165000	0	32518000	27948000	19997000	20522000	18480000	24978000	20772000	18757000	17762000	0	16759000	19081000	0	12111000	11749000
"A0A060HHC6"	137190000	169220000	84021000	182190000	1.82e+08	148540000	165950000	209220000	176460000	55029000	216670000	63439000	108800000	115590000	132260000	106230000	156710000	127200000	149930000	119600000	124500000	274770000	167610000	182700000	135910000	182470000	193350000	273910000	240030000	160960000	133690000	112480000	108580000	132100000	157620000	118510000	215080000	101570000	79958000	1.59e+08	148120000	167750000	197240000	158700000
"A0A060HHC9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16848000	0	0	0	0	0	0	0	0	0	0
"A0A060HHD1"	4487900	4227300	0	6727100	5033900	0	0	0	4279300	10671000	0	9249900	6654800	0	0	0	0	5693100	4236300	5142800	4204800	0	4172400	2990500	4078400	0	4339100	4363100	3698200	9043800	8006200	7528900	9481300	8373500	7014300	5833700	5795200	6614100	9053100	4591900	5622300	4612000	4741000	5021800
"A0A060HHD4"	6007400	0	10931000	0	0	8985100	0	0	8768000	0	8509500	0	0	0	0	0	8865600	0	0	7710300	6667700	10473000	0	11327000	6468500	11115000	10135000	7432900	7821600	15980000	9919600	7242000	13598000	24306000	10002000	17857000	18019000	16128000	23754000	13260000	14428000	14753000	16769000	15095000
"A0A060HHD5"	18897000	16189000	15942000	18984000	16356000	16253000	18051000	17279000	14629000	17191000	12282000	0	19262000	12890000	14935000	0	14094000	0	15230000	17268000	17102000	18172000	15262000	17851000	18181000	20446000	16987000	21825000	17710000	15685000	14312000	13918000	14700000	16957000	16708000	15248000	16200000	14508000	16179000	17703000	15305000	17124000	16976000	17273000
"A0A060HHD7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5268900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HHD9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3506900	4130100	0	0	0	0	0	0	0	0	0	0
"A0A060HHE0"	129180000	166280000	194770000	120960000	162200000	192420000	125810000	202880000	136490000	214050000	138640000	326310000	300690000	258360000	373500000	154280000	115540000	125330000	119440000	107980000	104720000	115450000	131070000	103860000	135590000	109770000	132580000	115320000	103130000	112750000	216610000	428430000	179420000	97387000	124470000	82145000	92921000	1.1e+08	90233000	121840000	126480000	137780000	114410000	113440000
"A0A060HHE1"	461300000	486300000	613760000	515430000	476570000	491200000	498070000	479840000	5.18e+08	339810000	535480000	603080000	466910000	368620000	556680000	528210000	469360000	524830000	527230000	474700000	521950000	513210000	496460000	447150000	470840000	472320000	512680000	519490000	521960000	531240000	520440000	502550000	501470000	533760000	554210000	499460000	563270000	571580000	579910000	487230000	496990000	479430000	558100000	510830000
"A0A060HHE4"	8318500	7675000	14376000	8576300	7772900	10300000	9780200	7405200	11569000	13687000	5192500	0	10928000	10945000	10176000	0	0	8657300	7810700	6926800	6032000	6546600	12714000	7588000	9865900	9538600	8596200	7924700	7409400	8170900	7423900	10718000	8249900	8285600	4698100	7282000	6194200	10588000	10184000	5737900	7256800	7881200	7144100	8477800
"A0A060HHE5"	40736000	36373000	40837000	37239000	39472000	43105000	40539000	40395000	37228000	116180000	37807000	41525000	61668000	101620000	41784000	35381000	33674000	50692000	40700000	36767000	35198000	33442000	46047000	42794000	38678000	31404000	35850000	41363000	38273000	42197000	40541000	39003000	36622000	33259000	34987000	35401000	38346000	34270000	30195000	38877000	25694000	31485000	37985000	35777000
"A0A060HHE6"	10619000	12200000	10702000	9012200	9808900	13531000	11409000	8719000	11625000	7361400	11128000	14865000	0	8868200	10194000	12084000	14046000	13833000	12161000	10870000	13460000	10661000	10773000	13998000	12395000	17519000	9043400	10032000	14278000	13800000	15789000	16622000	15240000	15013000	16682000	14552000	12975000	15310000	18470000	15154000	15001000	12022000	14599000	16057000
"A0A060HHE7"	26503000	29111000	27345000	24199000	28076000	29202000	26754000	26538000	30781000	0	25253000	47394000	30237000	0	33085000	33711000	31885000	32156000	30750000	26462000	27556000	22606000	32237000	24712000	28301000	30218000	24578000	22074000	21163000	36739000	36761000	43596000	33162000	29993000	31496000	30152000	33860000	37252000	44898000	31612000	27153000	38535000	26792000	31710000
"A0A060HHE8"	0	12704000	0	14946000	14937000	0	16472000	19106000	15191000	0	17979000	10937000	0	0	0	15358000	16907000	14094000	0	23100000	16866000	16239000	20184000	19047000	11251000	18745000	15948000	13426000	14286000	12769000	12382000	10998000	10188000	14655000	17397000	16800000	17220000	18670000	21274000	21182000	21456000	18540000	20588000	19118000
"A0A060HHF0"	47834000	52926000	30276000	56460000	54830000	43823000	52735000	58949000	55362000	48404000	75900000	39441000	43128000	51530000	60200000	43630000	51266000	53558000	51942000	4.8e+07	39339000	75960000	55607000	60437000	47874000	55914000	62288000	76877000	81206000	74966000	60715000	51923000	65760000	63561000	80475000	70105000	70226000	48699000	33618000	57430000	48435000	55181000	62753000	53323000
"A0A060HHF1"	73833000	75839000	72070000	67116000	68874000	63147000	69495000	65214000	68567000	0	60965000	0	0	18842000	17081000	34919000	65341000	60610000	63935000	68176000	69934000	69619000	69718000	71929000	66479000	72389000	68844000	69552000	65308000	47720000	36368000	15008000	14853000	55208000	48914000	73714000	80193000	66271000	76691000	68167000	75679000	55220000	63934000	75929000
"A0A060HHF2"	40430000	38554000	42420000	44670000	35994000	41632000	39481000	32524000	38548000	53764000	43021000	48381000	56535000	47864000	62543000	45322000	39595000	45628000	46233000	36029000	42836000	37664000	34639000	45669000	36885000	43742000	35214000	36181000	38559000	43027000	47243000	49467000	44388000	46773000	33434000	40328000	38588000	38289000	34030000	35645000	36397000	34119000	41539000	37482000
"A0A060HHF3"	87762000	104200000	162760000	83161000	94699000	96736000	101780000	90505000	81678000	97645000	71451000	112060000	74951000	96311000	108640000	85069000	89341000	73740000	85050000	75174000	80543000	71946000	66905000	67356000	88073000	87795000	64297000	79762000	66368000	75632000	95661000	109620000	79959000	83163000	66317000	56852000	62892000	68302000	75640000	67574000	78315000	60982000	56690000	64190000
"A0A060HHF4"	277970000	189240000	211130000	241720000	249750000	151380000	154260000	222070000	209910000	278210000	215310000	419760000	318160000	290570000	206980000	207430000	167130000	234710000	205620000	221510000	240220000	206840000	244560000	263810000	259810000	239480000	194530000	173660000	213220000	154020000	182350000	196620000	220780000	157110000	223340000	280740000	227300000	302830000	296520000	242130000	186500000	261950000	189990000	239310000
"A0A060HHF6"	3152100	3855700	5328300	5734800	0	4401400	5453200	4965100	3894500	0	3532800	0	0	0	0	0	4352500	3088000	0	4261900	4978400	4058200	3692300	4060500	0	4820900	3735800	4570000	5041000	0	0	0	0	3396800	2924200	6929100	4903800	3382600	0	4398100	4780200	3130700	6128700	4083600
"A0A060HHF7"	171270000	90046000	83426000	168270000	95851000	47315000	66058000	34485000	159460000	27629000	29811000	40556000	0	0	21727000	41908000	33634000	47970000	24672000	134450000	181350000	171960000	134790000	141880000	129220000	115700000	158600000	134390000	86213000	31921000	8574700	6566200	0	4052500	65475000	77067000	65847000	72682000	94523000	107560000	96610000	99238000	76273000	108950000
"A0A060HHG0"	112030000	104510000	168340000	108850000	134140000	137270000	1.14e+08	110550000	103530000	114600000	139220000	155780000	113870000	137660000	116060000	125810000	116180000	143940000	89591000	105070000	115470000	85805000	100450000	87448000	107750000	101030000	118990000	127040000	81397000	106230000	122330000	120700000	88356000	93207000	107660000	72005000	106090000	99406000	106080000	104110000	88750000	85739000	61970000	58718000
"A0A060HHG5"	20511000	21177000	16488000	17959000	17862000	19750000	17047000	15527000	26724000	0	20190000	9869000	0	0	0	16386000	25137000	16317000	19657000	22912000	24540000	23288000	24604000	19573000	15745000	23701000	21322000	22376000	19010000	23451000	22597000	24272000	21518000	21111000	23929000	20590000	21319000	25277000	22378000	21235000	29086000	25966000	23221000	21906000
"A0A060HHH1"	10894000	12689000	11305000	11081000	0	10768000	11831000	10542000	13369000	0	14745000	0	0	0	11939000	11254000	2.4e+07	9145400	11224000	14047000	10319000	12307000	11176000	13125000	11665000	13599000	12422000	12664000	8480900	14740000	13746000	11618000	12223000	15465000	16135000	12404000	13066000	16961000	14619000	17649000	16881000	13151000	14561000	13591000
"A0A060HHH5"	28179000	20763000	57727000	32363000	30315000	24474000	33123000	25918000	23089000	18010000	21607000	23562000	21618000	18342000	25031000	16344000	24861000	29853000	22459000	20690000	22597000	21051000	27942000	20873000	20761000	23087000	32684000	25890000	25740000	24361000	22471000	23564000	21290000	28280000	17676000	16261000	22952000	17835000	28719000	22110000	22545000	23065000	26318000	15902000
"A0A060HHH8"	25747000	28758000	39733000	38953000	25118000	34946000	35951000	27162000	37181000	28776000	37795000	46368000	29228000	31002000	46589000	39340000	53663000	44867000	40193000	40073000	39541000	39166000	39736000	44066000	29055000	48043000	36871000	35181000	37969000	51120000	51687000	58446000	45732000	51982000	46693000	57445000	53560000	55407000	86100000	38917000	46404000	37708000	56171000	42702000
"A0A060HHI3"	166980000	194710000	185530000	175270000	176420000	195830000	161050000	184610000	180910000	59489000	174850000	178680000	168400000	142270000	187440000	174050000	157430000	149870000	152170000	169420000	180060000	173640000	163850000	160950000	141230000	167940000	170840000	171850000	163090000	169930000	1.73e+08	187550000	149440000	157550000	169510000	136480000	146490000	163120000	166970000	181140000	185350000	163980000	168700000	163060000
"A0A060HHJ0"	23231000	19694000	17624000	21056000	20646000	19646000	24444000	18267000	23619000	0	19926000	10575000	0	0	7240800	13470000	17330000	16136000	13916000	23298000	16408000	26852000	26744000	23433000	17838000	25561000	26204000	20839000	25597000	47240000	34145000	26267000	34717000	36161000	47255000	39904000	40566000	33796000	39971000	34635000	28967000	29889000	38918000	36494000
"A0A060HHJ1"	45183000	47278000	53291000	42330000	42222000	53008000	43950000	61815000	51773000	39265000	58923000	88096000	75285000	50452000	53448000	56961000	54697000	64410000	65295000	38877000	40971000	48562000	47704000	36214000	48037000	46864000	43568000	35850000	57428000	66001000	76174000	71245000	83688000	72669000	64362000	68182000	54858000	77509000	71630000	53758000	56425000	64875000	57767000	61205000
"A0A060HHJ3"	334520000	361920000	590430000	305990000	370380000	264820000	291200000	423290000	294390000	472150000	343980000	867460000	374250000	557570000	253580000	329690000	260280000	363460000	237760000	301590000	325640000	272900000	282650000	289660000	417700000	280950000	257400000	1.81e+08	243150000	309790000	304990000	326450000	343900000	193780000	314160000	3.98e+08	292460000	495760000	449920000	346890000	237840000	347680000	290730000	349910000
"A0A060HHJ7"	17201000	17699000	43088000	25467000	23230000	29503000	26770000	28818000	24594000	0	15729000	6561400	0	0	0	12003000	25636000	14835000	9602700	24423000	25595000	27516000	28258000	29424000	23189000	30127000	28245000	23753000	19833000	16649000	0	12433000	8401000	12619000	18859000	21896000	23626000	23312000	29184000	24862000	28137000	19044000	26726000	22679000
"A0A060HHK2"	8103700	5386300	6310500	8944700	6208900	7337700	7689600	0	6939900	7201300	5223200	0	0	0	9998100	0	0	0	7613600	9095900	9008100	7276700	0	7624300	6338300	8626200	7589900	6589300	7468600	6426900	8188500	7195600	6326500	7372300	6994800	10074000	8440600	9852300	8947000	8745200	7831300	0	12300000	7166000
"A0A060HHK3"	1159700000	1182500000	2037900000	1474400000	1519200000	1331400000	1582700000	1451900000	1275400000	569470000	1.151e+09	1172100000	626710000	579920000	812780000	925580000	1.004e+09	1075200000	954880000	1292700000	1.273e+09	1406700000	1284400000	1.251e+09	1257200000	1532900000	1439600000	1501500000	1425800000	989720000	898660000	818060000	840600000	977890000	1232900000	1164100000	1492100000	1009200000	1350500000	1241300000	1.248e+09	1124800000	1464600000	1220700000
"A0A060HHK9"	191020000	229010000	248140000	197460000	194250000	215970000	192230000	187520000	183140000	188720000	168180000	271150000	218430000	207420000	249870000	194230000	172530000	191880000	186210000	169200000	183190000	159860000	185950000	179150000	175200000	185300000	190490000	176460000	171490000	179900000	212010000	241550000	191880000	170710000	176990000	169520000	156570000	176280000	223810000	171500000	183930000	181290000	164160000	172330000
"A0A060HHL2"	48766000	58784000	49870000	44251000	53169000	57641000	51248000	51647000	50346000	3.9e+07	71021000	62212000	35629000	35632000	73282000	63474000	75823000	54369000	66519000	57119000	58492000	52856000	49575000	53132000	50521000	56716000	50842000	58898000	49778000	69923000	68906000	57110000	68570000	68520000	74820000	60464000	66090000	68303000	70083000	66580000	61804000	49766000	52600000	54987000
"A0A060HHL3"	0	0	0	0	0	0	11337000	0	12913000	0	0	0	0	0	0	0	0	0	0	0	11863000	0	0	0	10610000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10043000	0	13436000	13063000
"A0A060HHL6"	0	11755000	0	13306000	0	12582000	0	0	9262900	0	7953300	18768000	0	0	0	10792000	10152000	14761000	6953800	9090600	11412000	8563200	10357000	9149200	13135000	0	0	0	10260000	12611000	14827000	13183000	13432000	12404000	12146000	11948000	0	12722000	21421000	13335000	10326000	10233000	9354100	14242000
"A0A060HHL9"	6613100	4180100	8855100	8568700	7940900	10106000	0	8084900	0	7630600	8660800	10534000	8253300	0	10740000	10939000	0	6994500	6794500	8932100	6077700	8694300	7211400	9286800	5812700	8810300	9308500	0	8828700	8492400	11075000	9917500	10127000	9568500	9224000	7734800	9212000	9839100	9862200	0	7886800	8323800	8427800	5655700
"A0A060HHM1"	44440000	45383000	22109000	56006000	66061000	39388000	41808000	60107000	44750000	0	56622000	11192000	26480000	27093000	38699000	30219000	50291000	35472000	46329000	50480000	46208000	84217000	39770000	61509000	48645000	61416000	53558000	90631000	77933000	49533000	44846000	28228000	33685000	43598000	51465000	55705000	71581000	29049000	32888000	43585000	33976000	49404000	44339000	46857000
"A0A060HHM4"	6847100	8198900	9555200	0	0	0	0	6217500	0	0	8470900	0	0	0	0	0	8776900	8200600	0	9626600	8693300	6501800	6230700	8715900	7615000	7775900	0	6410400	8120600	8199100	7720500	10309000	7428500	10766000	8273000	7484900	7307300	7681800	8648200	0	9965900	5654500	7622200	7062500
"A0A060HHM6"	236160000	234760000	242780000	194470000	203440000	146620000	217500000	171450000	173780000	119590000	105340000	187460000	133490000	140440000	134070000	154180000	93128000	117380000	112580000	162150000	177960000	153780000	176480000	155170000	169290000	172180000	172470000	150920000	148630000	135410000	112030000	123780000	72766000	83638000	160580000	139950000	126390000	131160000	148360000	181740000	113980000	179180000	120080000	181730000
"A0A060HHN2"	26584000	23245000	24606000	20448000	18018000	21922000	19939000	22795000	29252000	0	23519000	18606000	0	0	0	21392000	31201000	23302000	22609000	24915000	24844000	27298000	24858000	25171000	23555000	33934000	22251000	15586000	22293000	24771000	28447000	22387000	24258000	23589000	23835000	24493000	25287000	29232000	37367000	34271000	32863000	25716000	32511000	35682000
"A0A060HHN4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1808000	0	0	0	0	0
"A0A060HHN6"	56958000	50259000	35070000	49404000	58175000	46959000	55728000	56582000	49152000	39681000	66975000	49367000	52484000	52210000	58843000	57521000	53362000	61284000	68750000	61332000	49807000	55820000	52040000	57645000	48797000	50302000	60783000	57326000	59946000	79196000	66008000	59871000	72318000	83792000	69252000	65995000	57400000	42093000	40213000	52833000	43960000	45641000	51767000	46679000
"A0A060HHN8"	36908000	23823000	36473000	29576000	22307000	28728000	31656000	29759000	34076000	0	6881800	0	0	0	0	0	9151300	0	4972500	26342000	31157000	27023000	27164000	28385000	33126000	35510000	37434000	28178000	32956000	11077000	0	0	0	13140000	11198000	17558000	20551000	7646500	7691300	36061000	34051000	34231000	36297000	38130000
"A0A060HHP0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684940	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HHP2"	75604000	56710000	92838000	82354000	94547000	69435000	87143000	107050000	78680000	30375000	53171000	95011000	31654000	25504000	25969000	52079000	59246000	80918000	39663000	79911000	74293000	53470000	70592000	82895000	85854000	74886000	84770000	59864000	68195000	69802000	60115000	51915000	89646000	83578000	84250000	76719000	105280000	122210000	117600000	80694000	64207000	95975000	56675000	75994000
